"","1789-Washington","1793-Washington","1797-Adams","1801-Jefferson","1805-Jefferson","1809-Madison","1813-Madison","1817-Monroe","1821-Monroe","1825-Adams","1829-Jackson","1833-Jackson","1837-VanBuren","1841-Harrison","1845-Polk","1849-Taylor","1853-Pierce","1857-Buchanan","1861-Lincoln","1865-Lincoln","1869-Grant","1873-Grant","1877-Hayes","1881-Garfield","1885-Cleveland","1889-Harrison","1893-Cleveland","1897-McKinley","1901-McKinley","1905-Roosevelt","1909-Taft","1913-Wilson","1917-Wilson","1921-Harding","1925-Coolidge","1929-Hoover","1933-Roosevelt","1937-Roosevelt","1941-Roosevelt","1945-Roosevelt","1949-Truman","1953-Eisenhower","1957-Eisenhower","1961-Kennedy","1965-Johnson","1969-Nixon","1973-Nixon","1977-Carter","1981-Reagan","1985-Reagan","1989-Bush","1993-Clinton","1997-Clinton","2001-Bush","2005-Bush","2009-Obama","2013-Obama","2017-Trump","2021-Biden"
"senate",0.816609502202819,0,0.816609502202819,0,0,0,0,0,0,0,0,0,0,4.0830475110141,0,0.816609502202819,0,0,0,0,0,0,0,0,0,0.816609502202819,0,2.44982850660846,0,0,0,0.816609502202819,0,0,0,0,0,0,0,0,0.816609502202819,0,0,0,0,0,0,0,0,0,0.816609502202819,0,0,0,0,0,0,0,0
"house",1.24944795192781,0,1.87417192789172,0,0,0,0,0,0,0,0,0,0,2.49889590385562,0,0,0,0,0,0,0,0,0,0,0,0.624723975963906,0,1.24944795192781,0,0,0,0.624723975963906,0.624723975963906,0,0,0,0.624723975963906,0,0.624723975963906,0,0.624723975963906,0,0,0.624723975963906,0,0.624723975963906,0.624723975963906,0,0,0,1.24944795192781,0,0,0,0,0,0,0,0
"representative",1.03115901307768,0,1.03115901307768,0.515579506538838,0,0,0,0.515579506538838,0.515579506538838,1.03115901307768,0,0.515579506538838,0.515579506538838,2.57789753269419,0,0,0,0,0,0,0,0.515579506538838,0.515579506538838,0,0,0.515579506538838,0,0.515579506538838,0.515579506538838,0,0,0.515579506538838,0,2.06231802615535,1.54673851961651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.515579506538838,0,0,0,0,0,0,0,0,0
"among",0.137383556062558,0,0.549534224250231,0.137383556062558,0.961684892437904,0,0.137383556062558,0.412150668187673,0.137383556062558,0.412150668187673,0.137383556062558,0.137383556062558,0.412150668187673,0.412150668187673,0.824301336375346,0.137383556062558,0,0.274767112125115,0.824301336375346,0.137383556062558,0.137383556062558,0,0.137383556062558,0.137383556062558,0.274767112125115,0.549534224250231,0.274767112125115,0.412150668187673,0.274767112125115,0.137383556062558,1.23645200456302,0,0,0.412150668187673,0.412150668187673,0.549534224250231,0,0.686917780312788,0,0,0.274767112125115,0.412150668187673,0.137383556062558,0,0.412150668187673,0.137383556062558,0.137383556062558,0.274767112125115,0.549534224250231,0.274767112125115,0,0.137383556062558,0,0,0.137383556062558,0,0.137383556062558,0,0
"life",0.0718820073061254,0,0.215646021918376,0.0718820073061254,0.143764014612251,0.0718820073061254,0.0718820073061254,0.0718820073061254,0.215646021918376,0.0718820073061254,0,0.0718820073061254,0.0718820073061254,0.0718820073061254,0.287528029224501,0,0.0718820073061254,0,0,0,0,0,0,0.143764014612251,0.215646021918376,0.215646021918376,0.287528029224501,0.0718820073061254,0.215646021918376,0.431292043836752,0.215646021918376,0.862584087673504,0.431292043836752,0.359410036530627,0.359410036530627,0.359410036530627,0.215646021918376,0.287528029224501,0.718820073061254,0.143764014612251,0.431292043836752,0.718820073061254,0.287528029224501,0.215646021918376,0.143764014612251,0.503174051142877,0.143764014612251,0.143764014612251,0.359410036530627,0.287528029224501,0.431292043836752,0.287528029224501,0.646938065755128,0.431292043836752,0.431292043836752,0.215646021918376,0.287528029224501,0.215646021918376,0.215646021918376
"event",1.03115901307768,0,0,0,0.515579506538838,0,0,2.06231802615535,2.06231802615535,0,0,1.54673851961651,2.06231802615535,0,0,0,0,2.06231802615535,1.03115901307768,0,0,1.03115901307768,0.515579506538838,0,0,0.515579506538838,0,0.515579506538838,1.03115901307768,0,0,0,0.515579506538838,0,0,0,1.03115901307768,0,0,0,0.515579506538838,1.03115901307768,0,0,0,0,0,0,0,0,0,0,0,0,1.03115901307768,0,0,0,0
"can",0.0890882169504825,0,0.0742401807920687,0.0222720542376206,0.059392144633655,0.0445441084752412,0.0222720542376206,0.059392144633655,0.0668161627128619,0.0222720542376206,0.0371200903960344,0.0222720542376206,0.0965122350296894,0.274688668930654,0.0965122350296894,0.0148480361584137,0.11878428926731,0.0519681265544481,0.222720542376206,0.0148480361584137,0.0222720542376206,0.0445441084752412,0.0222720542376206,0.103936253108896,0.0148480361584137,0.0445441084752412,0.0668161627128619,0.103936253108896,0.0222720542376206,0.0148480361584137,0.155904379663344,0.0296960723168275,0.0371200903960344,0.0816641988712756,0.215296524296999,0.126208307346517,0.0816641988712756,0.0742401807920687,0.0148480361584137,0.0296960723168275,0.11878428926731,0.0445441084752412,0.0742401807920687,0.0668161627128619,0.0668161627128619,0.133632325425724,0.103936253108896,0.0965122350296894,0.059392144633655,0.0668161627128619,0.0965122350296894,0.0445441084752412,0.059392144633655,0.0445441084752412,0.0519681265544481,0.103936253108896,0.0668161627128619,0.00742401807920687,0.126208307346517
"fill",0.594760752586463,0,0,0,0,0.594760752586463,0,0,0,0,0,0,0.594760752586463,0.594760752586463,1.18952150517293,0.594760752586463,0.594760752586463,0,0,0,0.594760752586463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.594760752586463,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18952150517293,0.594760752586463,0,0,0.594760752586463,0,0.594760752586463,0.594760752586463,0.594760752586463,0
"great",0.0599086238786114,0,0.0748857798482642,0.0599086238786114,0.0149771559696528,0,0.0149771559696528,0.374428899241321,0.434337523119932,0.134794403726876,0.0149771559696528,0.0599086238786114,0.134794403726876,0.419360367150279,0.10484009178757,0.0299543119393057,0.119817247757223,0.179725871635834,0.089862935817917,0.0149771559696528,0.089862935817917,0.089862935817917,0.149771559696528,0.20968018357514,0.0599086238786114,0.224657339544793,0.0149771559696528,0.284565963423404,0.089862935817917,0.0748857798482642,0.179725871635834,0.20968018357514,0.0748857798482642,0.10484009178757,0.284565963423404,0.134794403726876,0.0748857798482642,0.089862935817917,0.0449314679089585,0.0149771559696528,0.119817247757223,0.0449314679089585,0.10484009178757,0.0149771559696528,0.089862935817917,0.10484009178757,0.149771559696528,0.0299543119393057,0.134794403726876,0.10484009178757,0.179725871635834,0.0449314679089585,0.149771559696528,0.0599086238786114,0.089862935817917,0.0748857798482642,0.0748857798482642,0.089862935817917,0.0748857798482642
"anxiety",0.624723975963906,0,0.624723975963906,0,0,0,0,0.624723975963906,0,0.624723975963906,0,0.624723975963906,0,0,0,0,0.624723975963906,0,0.624723975963906,0,0,0.624723975963906,0,0,1.24944795192781,0,0.624723975963906,0,0.624723975963906,0.624723975963906,0,0,0,0,0,0,0,0.624723975963906,0,0,0,0.624723975963906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
